n_hidden = 64
max level = 3
conv size = 64
fp len = 0
batch_size = 50
max_epoch = 200000
test_interval = 1000
report_interval = 100
save_interval = 10000
lr = 0.001
l2_penalty = 0
momentum = 0.9
init iter = 0
device id = 0
loading indexes data/ENZYMES/10fold_idx/train_idx-1.txt
loading indexes data/ENZYMES/10fold_idx/test_idx-1.txt
dimension of node feature: 2
testing
test@iter: 0	ReduceMean_21:out_0: 1.79174	ReduceMean_25:out_0: 0.233333
iter: 0	ReduceMean_21:out_0: 1.79159	ReduceMean_25:out_0: 0.22
iter: 100	ReduceMean_21:out_0: 1.79183	ReduceMean_25:out_0: 0.14
iter: 200	ReduceMean_21:out_0: 1.79175	ReduceMean_25:out_0: 0.12
iter: 300	ReduceMean_21:out_0: 1.79165	ReduceMean_25:out_0: 0.16
iter: 400	ReduceMean_21:out_0: 1.79148	ReduceMean_25:out_0: 0.2
iter: 500	ReduceMean_21:out_0: 1.7915	ReduceMean_25:out_0: 0.22
iter: 600	ReduceMean_21:out_0: 1.79192	ReduceMean_25:out_0: 0.12
iter: 700	ReduceMean_21:out_0: 1.79128	ReduceMean_25:out_0: 0.26
iter: 800	ReduceMean_21:out_0: 1.79154	ReduceMean_25:out_0: 0.2
iter: 900	ReduceMean_21:out_0: 1.79029	ReduceMean_25:out_0: 0.26
testing
test@iter: 1000	ReduceMean_21:out_0: 1.79123	ReduceMean_25:out_0: 0.2
iter: 1000	ReduceMean_21:out_0: 1.79165	ReduceMean_25:out_0: 0.16
iter: 1100	ReduceMean_21:out_0: 1.79094	ReduceMean_25:out_0: 0.14
iter: 1200	ReduceMean_21:out_0: 1.78996	ReduceMean_25:out_0: 0.28
iter: 1300	ReduceMean_21:out_0: 1.79258	ReduceMean_25:out_0: 0.14
iter: 1400	ReduceMean_21:out_0: 1.78515	ReduceMean_25:out_0: 0.14
iter: 1500	ReduceMean_21:out_0: 1.79357	ReduceMean_25:out_0: 0.14
iter: 1600	ReduceMean_21:out_0: 1.78873	ReduceMean_25:out_0: 0.24
iter: 1700	ReduceMean_21:out_0: 1.79151	ReduceMean_25:out_0: 0.16
iter: 1800	ReduceMean_21:out_0: 1.78702	ReduceMean_25:out_0: 0.2
iter: 1900	ReduceMean_21:out_0: 1.76413	ReduceMean_25:out_0: 0.2
testing
test@iter: 2000	ReduceMean_21:out_0: 1.78974	ReduceMean_25:out_0: 0.2
iter: 2000	ReduceMean_21:out_0: 1.80211	ReduceMean_25:out_0: 0.1
iter: 2100	ReduceMean_21:out_0: 1.76461	ReduceMean_25:out_0: 0.2
iter: 2200	ReduceMean_21:out_0: 1.77924	ReduceMean_25:out_0: 0.2
iter: 2300	ReduceMean_21:out_0: 1.79659	ReduceMean_25:out_0: 0.14
iter: 2400	ReduceMean_21:out_0: 1.78097	ReduceMean_25:out_0: 0.14
iter: 2500	ReduceMean_21:out_0: 1.79279	ReduceMean_25:out_0: 0.08
iter: 2600	ReduceMean_21:out_0: 1.78989	ReduceMean_25:out_0: 0.14
iter: 2700	ReduceMean_21:out_0: 1.79102	ReduceMean_25:out_0: 0.2
iter: 2800	ReduceMean_21:out_0: 1.78649	ReduceMean_25:out_0: 0.18
iter: 2900	ReduceMean_21:out_0: 1.77163	ReduceMean_25:out_0: 0.2
testing
test@iter: 3000	ReduceMean_21:out_0: 1.78391	ReduceMean_25:out_0: 0.2
iter: 3000	ReduceMean_21:out_0: 1.76304	ReduceMean_25:out_0: 0.24
iter: 3100	ReduceMean_21:out_0: 1.80885	ReduceMean_25:out_0: 0.14
iter: 3200	ReduceMean_21:out_0: 1.80258	ReduceMean_25:out_0: 0.14
iter: 3300	ReduceMean_21:out_0: 1.82195	ReduceMean_25:out_0: 0.1
iter: 3400	ReduceMean_21:out_0: 1.76364	ReduceMean_25:out_0: 0.2
iter: 3500	ReduceMean_21:out_0: 1.80384	ReduceMean_25:out_0: 0.16
iter: 3600	ReduceMean_21:out_0: 1.80444	ReduceMean_25:out_0: 0.1
iter: 3700	ReduceMean_21:out_0: 1.79645	ReduceMean_25:out_0: 0.18
iter: 3800	ReduceMean_21:out_0: 1.775	ReduceMean_25:out_0: 0.2
iter: 3900	ReduceMean_21:out_0: 1.7686	ReduceMean_25:out_0: 0.22
testing
test@iter: 4000	ReduceMean_21:out_0: 1.77894	ReduceMean_25:out_0: 0.216667
iter: 4000	ReduceMean_21:out_0: 1.79109	ReduceMean_25:out_0: 0.16
iter: 4100	ReduceMean_21:out_0: 1.77053	ReduceMean_25:out_0: 0.18
iter: 4200	ReduceMean_21:out_0: 1.79885	ReduceMean_25:out_0: 0.14
iter: 4300	ReduceMean_21:out_0: 1.76992	ReduceMean_25:out_0: 0.2
iter: 4400	ReduceMean_21:out_0: 1.79544	ReduceMean_25:out_0: 0.18
iter: 4500	ReduceMean_21:out_0: 1.7859	ReduceMean_25:out_0: 0.18
iter: 4600	ReduceMean_21:out_0: 1.81742	ReduceMean_25:out_0: 0.14
iter: 4700	ReduceMean_21:out_0: 1.7925	ReduceMean_25:out_0: 0.16
iter: 4800	ReduceMean_21:out_0: 1.76366	ReduceMean_25:out_0: 0.16
iter: 4900	ReduceMean_21:out_0: 1.78676	ReduceMean_25:out_0: 0.1
testing
test@iter: 5000	ReduceMean_21:out_0: 1.74563	ReduceMean_25:out_0: 0.25
iter: 5000	ReduceMean_21:out_0: 1.81108	ReduceMean_25:out_0: 0.2
iter: 5100	ReduceMean_21:out_0: 1.77358	ReduceMean_25:out_0: 0.22
iter: 5200	ReduceMean_21:out_0: 1.75028	ReduceMean_25:out_0: 0.16
iter: 5300	ReduceMean_21:out_0: 1.79708	ReduceMean_25:out_0: 0.2
iter: 5400	ReduceMean_21:out_0: 1.75006	ReduceMean_25:out_0: 0.18
iter: 5500	ReduceMean_21:out_0: 1.83822	ReduceMean_25:out_0: 0.16
iter: 5600	ReduceMean_21:out_0: 1.78655	ReduceMean_25:out_0: 0.16
iter: 5700	ReduceMean_21:out_0: 1.76503	ReduceMean_25:out_0: 0.2
iter: 5800	ReduceMean_21:out_0: 1.7457	ReduceMean_25:out_0: 0.22
iter: 5900	ReduceMean_21:out_0: 1.65288	ReduceMean_25:out_0: 0.28
testing
test@iter: 6000	ReduceMean_21:out_0: 1.68484	ReduceMean_25:out_0: 0.266667
iter: 6000	ReduceMean_21:out_0: 1.76481	ReduceMean_25:out_0: 0.26
iter: 6100	ReduceMean_21:out_0: 1.75501	ReduceMean_25:out_0: 0.16
iter: 6200	ReduceMean_21:out_0: 1.80357	ReduceMean_25:out_0: 0.18
iter: 6300	ReduceMean_21:out_0: 1.67392	ReduceMean_25:out_0: 0.32
iter: 6400	ReduceMean_21:out_0: 1.64323	ReduceMean_25:out_0: 0.34
iter: 6500	ReduceMean_21:out_0: 1.60903	ReduceMean_25:out_0: 0.44
iter: 6600	ReduceMean_21:out_0: 1.68779	ReduceMean_25:out_0: 0.2
iter: 6700	ReduceMean_21:out_0: 1.63447	ReduceMean_25:out_0: 0.28
iter: 6800	ReduceMean_21:out_0: 1.61797	ReduceMean_25:out_0: 0.42
iter: 6900	ReduceMean_21:out_0: 1.62844	ReduceMean_25:out_0: 0.3
testing
test@iter: 7000	ReduceMean_21:out_0: 1.66221	ReduceMean_25:out_0: 0.3
iter: 7000	ReduceMean_21:out_0: 1.54817	ReduceMean_25:out_0: 0.38
iter: 7100	ReduceMean_21:out_0: 1.59562	ReduceMean_25:out_0: 0.24
iter: 7200	ReduceMean_21:out_0: 1.65859	ReduceMean_25:out_0: 0.24
iter: 7300	ReduceMean_21:out_0: 1.53135	ReduceMean_25:out_0: 0.42
iter: 7400	ReduceMean_21:out_0: 1.57105	ReduceMean_25:out_0: 0.36
iter: 7500	ReduceMean_21:out_0: 1.5479	ReduceMean_25:out_0: 0.34
iter: 7600	ReduceMean_21:out_0: 1.53021	ReduceMean_25:out_0: 0.36
iter: 7700	ReduceMean_21:out_0: 1.52257	ReduceMean_25:out_0: 0.38
iter: 7800	ReduceMean_21:out_0: 1.53265	ReduceMean_25:out_0: 0.4
iter: 7900	ReduceMean_21:out_0: 1.67147	ReduceMean_25:out_0: 0.3
testing
test@iter: 8000	ReduceMean_21:out_0: 1.61467	ReduceMean_25:out_0: 0.333333
iter: 8000	ReduceMean_21:out_0: 1.56241	ReduceMean_25:out_0: 0.44
iter: 8100	ReduceMean_21:out_0: 1.55559	ReduceMean_25:out_0: 0.42
iter: 8200	ReduceMean_21:out_0: 1.59856	ReduceMean_25:out_0: 0.26
iter: 8300	ReduceMean_21:out_0: 1.60806	ReduceMean_25:out_0: 0.3
iter: 8400	ReduceMean_21:out_0: 1.5748	ReduceMean_25:out_0: 0.34
iter: 8500	ReduceMean_21:out_0: 1.60858	ReduceMean_25:out_0: 0.32
iter: 8600	ReduceMean_21:out_0: 1.66293	ReduceMean_25:out_0: 0.28
iter: 8700	ReduceMean_21:out_0: 1.55708	ReduceMean_25:out_0: 0.32
iter: 8800	ReduceMean_21:out_0: 1.55411	ReduceMean_25:out_0: 0.32
